team,epa_roll,success_roll,elo
NE,-0.06574396987190745,0.45651084297355304,1403.2243861105462
PIT,-0.10740077781243289,0.39422524187423597,1552.393937658327
BUF,0.2265511117394683,0.5007114038664415,1674.4268434670773
IND,-0.10019876518307853,0.41097035145752336,1462.6570458650322
CHI,-0.08870574188238131,0.39965980147957836,1384.4295695677433
GB,0.11631900737019082,0.4791239839926674,1573.4303043331086
HOU,-0.06524417214160166,0.3937357204125982,1488.6338355651135
KC,0.02764022876346482,0.41218340363996364,1749.6298363272097
JAX,-0.0891662140184453,0.3861109829775575,1384.8806073190192
CAR,0.0004836272213565463,0.4152455002207411,1345.8517853973265
NYJ,-0.011584221517021771,0.4283333242805632,1384.7191601584598
CLE,-0.20328653007007444,0.3885732529759049,1426.5503041566212
SEA,-0.08040925537952932,0.41677307725455376,1549.1968472431236
WAS,0.12224647450814599,0.48112696039457187,1514.1588326651884
MIA,0.045413339191989074,0.46789329471683827,1514.1559511016962
ARI,0.05348868440214707,0.47158829118121876,1425.7676770875028
NO,-0.05156283361832967,0.40031170308724234,1453.5586173915049
DET,0.22991891260366543,0.5319073318413173,1621.3596304928687
DEN,0.127420803303682,0.446842425643483,1487.9731478544575
BAL,0.2008683016055093,0.49151453950201063,1634.0703767778045
CIN,0.11228156409724695,0.4961667733165624,1566.688411558838
TB,0.16082767251677133,0.49993302537847023,1537.5731458197843
TEN,-0.04851260278437959,0.40972520932101225,1378.0349662025849
DAL,-0.1642447389570382,0.40529537954065414,1535.9904773823985
NYG,-0.11421334641935912,0.4092251633455651,1366.8674805389574
ATL,-0.0366447424667564,0.4610603110615169,1437.7338701864273
PHI,0.14060565700651362,0.44466240843157956,1674.0445208548065
SF,0.02518247580129914,0.44164055370695476,1553.1008063547367
MIN,0.036422063487349186,0.45648746270878665,1585.9890172171074
LA,0.054932394128264964,0.4653704513842081,1569.7758360463092
LAC,0.03508354238831883,0.4397693820353825,1504.5190512560384
LV,-0.09024823351273696,0.4062253240766499,1424.5294146027306
